id,cited,target
6023,"8934,7350,3909,5125,805,2250,9203,6687,13289",13038
8334,9452,3064
3017,"738,2582,6497",2766
7781,"13856,1963,1305,462,13154,5647,8710,9961",7108
6141,9790,11104
3332,"1638,3133,3491,1308,10387",2026
1315,"2298,3909,2250,12205,2696,10419,3206,12309,5624",8874
1918,11400,4192
6503,"13558,6585,12574,6360,6012,11723,11665,10262,10662,3161,5336,4123,11354,13008,5648,6014,10338,4650,752,7035,12646",12758
5334,11584,5665
7177,"2939,7509,6146,6747,12135",8302
10921,8593,14342
8641,11801,11012
13373,"14154,6836",9722
14254,2071,1797
2341,5655,5260
2949,7759,4369
2386,"6278,5862",5252
6107,"1324,13782,8201",11622
14,"4505,205,5685",6682
5609,"4310,12689,14089",4112
11719,"10633,751,4650,6316,1038,4175,3318,8302",3268
7797,10751,7163
1792,"11595,7514,12627,2136,12436",11975
1327,"14068,5524,8473,5454",3481
10513,"11422,5648,7842,6014,13147,3100,11304",11718
7793,"14260,3490,11781,13772,1587,341,14367,12765,4749",4926
8488,"7673,69,6196,3692",4921
13512,"7628,1810,13763,12086,6405,7361,5561,7794,11000,1757,2128,7598",6374
1846,"9386,12863,12486,12578,4104,9991,2615,4492,12680",152
12688,"12797,2098",6849
590,"1394,6822,9061,2796,2257",1190
12924,"9648,1993",1824
4731,"8928,12676,8687,8585,7322,10612,5850",5161
13949,"14292,5342",7328
7456,11006,10511
6290,"11667,1013",1084
1570,"7618,7318,4883,4478",13918
3600,"9585,9152,9401,6960",3098
12484,"10528,6626",9931
6548,"13155,5161",4820
7987,"9580,9227",14432
3756,"2204,13923",9672
1941,8473,2260
8170,229,11993
14558,"5939,5135",2712
9566,14104,797
10621,13982,717
3614,"10760,4199,7514,7255,5174",6178
813,4351,14536
2023,"314,10311,13751,966,10660,11420,10629",13452
4927,12820,1240
5133,"10538,5538,4797,6577",3641
6526,"11423,9618",6345
2620,819,14463
268,"1517,12513",8764
6275,"14260,14221,4312,1043",11450
7520,7797,5813
5562,"3635,4719,6627,3157,14268,9762,11459,11704",6987
1747,5152,4123
12289,"4956,1802",2589
9461,"12901,11099,8040,4240",11308
13545,11843,1678
5494,4372,6139
13290,"4037,6294,1051,4961,8138",3049
10128,"12323,1972,9321",2778
4536,5849,2261
5049,"12172,5146",8316
10298,10444,14214
9784,10915,8554
9690,"10761,9235",7545
8184,"14211,9795,5505,10338,4773,13649,12072,8432,6818,4941,4609,2104,14328,11742,10609,3640",13038
10617,10442,3100
6803,"12379,5790,13221,4685",6673
2907,10931,229
13129,"7711,11273,1325,11755",3705
7041,"4961,1830",2199
6087,"13647,11435,10262",11760
11093,5136,9621
5007,"3977,3531",3076
7479,"13177,6257",14469
10413,"10339,8510,7169",6810
2719,2727,7527
4551,"2755,14150",7076
244,"2442,3306,9217",14016
10777,11201,1039
4268,"145,3055,5318",713
1673,3602,1799
602,"4889,11447",2430
10359,"1646,6350,5059,674,3157,1236",7238
1999,7863,3549
14005,6274,7514
10110,"438,5661,12310",13070
1249,"3124,10403",4379
7308,"11694,11269,1948,9186,3805",5312
13965,"11949,8000,12173,1309",2680
6142,"12903,9447,1240,13078",2199
7012,9495,12449
1729,7439,10914
3762,1174,1179
4281,8061,2057
8237,7677,418
5142,"7349,14500,2040,4989,5892,296",7807
8961,"14260,9074,1888",13884
2541,"5636,7632",2423
9267,"1660,4757,14540",2256
13184,"4191,1805,545,12645,4792",7065
4171,"931,11023,6983",11327
3548,"12450,9227",3560
6931,"14260,7,2789,3933",12765
10222,13340,6148
706,13409,11290
541,"4796,1573,11253,10666",4506
7173,"8799,13787",6093
3084,"3371,7582,1765",4192
6362,"6811,12794",11629
7853,"1899,12498",10195
7365,2423,2365
3067,10745,8292
7310,607,13820
13208,"9499,8560,9393",4944
9088,"12863,7636",12680
4973,"14260,5009,12446",12939
2255,"8107,5810,8687",2083
14031,"13424,5647,13423,10608,5381,6873,1400,6995,8533,7375",12458
2515,13225,6826
7615,"5816,4693,10281,107,5731,5244,794,12165,5192,3632,10037,6555",9245
12318,4421,7661
14386,"1375,9577,12560",11513
13432,10838,14469
10292,"11086,5513,9587",7320
10678,"8221,8022,6844,9856,14483,6849,556,3942,5584,2008",760
11800,"7046,11986,7091,1403,10554,14458,4181",3429
10535,1194,7137
8878,"4324,14182,10628,1508,14074,501,7943",14064
7221,"11192,501,2155,5700",7421
3861,11671,7514
3466,"14378,3930,10771,4200,12945",11034
9361,"2778,5318,2975",1972
14529,"11965,13406",14539
8610,6649,12377
9988,"9372,11726,9434",506
11501,"3492,9450,9474",6426
3210,11016,9657
13769,11719,1843
484,"3049,5685,1787,10172,4539,14268,7108",1645
3949,"13843,1963,13911",10735
12303,13368,2407
11305,5451,364
11849,"11882,14338",10919
13968,"7278,13310,3390,4034,6358,6792,373,9449,14526,12277,842,10629",11511
11001,4392,14557
11620,8622,6794
7216,"9238,11949,4805,11662,6109,14268,9104,254",549
12650,"10972,3344,6210",1324
8919,"12172,8261",11993
9875,922,12732
5400,"7861,1556,11975,6496",8489
12633,"8960,14201",12939
11068,7623,4557
7758,"1619,5685",2797
32,"922,7582,12979",5300
8180,13211,2674
7311,"6964,11253,4222",12646
2537,935,13929
12406,6092,7263
4951,2726,8454
4140,"1660,11435,4686",4757
9441,5496,12681
9733,"7324,12633,3738,14319,12479,12696,9488,5821,4299,3227",2515
10565,970,1494
10835,"4469,8910",3612
5327,"13922,725",4744
2264,"385,12483,8461,8448",6826
3375,"4282,7454",6782
1102,6585,7217
8423,"13825,2969",12232
2076,2919,10687
7148,"277,3157,4961,4539,14268,11949,2199,8633,12173",2313
9747,"2184,10099",14264
7903,14366,9961
9307,10387,3712
12037,14260,4312
11337,"9468,3371",6198
5879,"9449,14366,7108,5227,66,1851,8906,1031,14007",12458
12470,11400,11584
1557,"2732,9983,13328,4314,6405,3431,12319,8808",2384
10758,"1649,11941,8017,9040,11703,14567",12549
2703,"6090,8053",2985
134,"13267,7919,6268",3092
6389,"9343,3924",1429
6802,"11174,6094",12867
7580,"12820,12733,2615,8642,6685,13067,219",5550
3039,9447,3706
8994,"10614,4507",12063
5316,"7198,8003",13372
13088,5648,9006
11376,"4545,6503,4542,7449,10633,2323,11002,1323,587,14466,3100",2914
2675,3516,7648
8108,8563,10628
13197,235,597
13299,"11325,5230,13297,1488",5811
10606,"8473,4582,7296",4136
14276,"4153,7796",8302
10457,"3384,12624,13580",9801
13079,"12833,11521,10005,11667,2951,1219,734",11459
11384,"2137,2087",3303
5948,"7514,3421,1322",9484
11141,"2505,10628,9544,6761",14064
2573,"7198,8449",4024
9321,8947,11280
6815,669,6108
6859,"6445,3085",7094
12474,"8836,12891,7159",4131
3390,"1581,12247,11766",14298
13862,"3441,7449,146,10633,11253",11981
13112,11980,8910
8549,"3008,8984,9157,13201,1497,10191,7995,2340",12749
5592,"1222,1324,10818",12890
3305,11723,12779
3235,11560,5252
5616,"14150,11608",7076
9454,"6763,8194,1856,2199,13308,11791",9194
12704,"872,1654,11560",5862
8991,"14396,11682,228,4975",11353
9283,"14211,13013,6518,7644",1108
10996,"4542,3111,14478",9475
11608,2755,3336
12042,5053,7074
4336,5545,11328
14172,"12539,9114",2387
8509,"1492,10939",14249
11537,"13082,1960,2778,10128,5318,713",2975
1580,"12797,3709,10124,11682,13728,520",12688
4740,"7869,8949,8022,6822,6485",8877
11083,"2687,11965",4602
6732,"3563,2778",7727
7872,"8544,13837",8359
14562,9663,4434
5411,"8090,6011,2594",13897
6186,"9730,4484,9969,8845",4400
961,"6736,4091,4862,911",6054
259,8982,8581
354,476,7934
7782,"9135,6602,9823,6352",4597
9554,"1904,2682",10196
4219,"9951,5747",1879
2769,9243,4131
73,"7514,7861",3265
2672,"1890,6676,14274,14441,7015,408,14245,10831,5218",3431
13065,4282,6782
5431,"12833,5385,13537,6762,1389,7350,14366,4961,13373,8394,7172,8652",11367
9867,"949,14366",7172
7274,"2098,7585,10167,808,14344,6849,10906",12469
11100,"14257,11464",336
4753,6063,2235
7752,3265,4112
9709,"14260,13513,5817,6176",12765
2447,"4547,9893",5969
2279,3622,8183
5733,"977,10673,9490,8258",2566
1455,"6618,12580,9650,2582,13361,3113",10502
1240,"11433,13455,10605,804,11704,9648,7397",4591
6734,"12140,8217,11200,7933,2008",7481
3219,"10983,7350,9013,5031,1324,253,5357",8695
12416,13008,10662
11276,2921,4736
13007,"14328,14156,4235",13910
4706,"949,14366,3177,11730,2756",13019
9204,"53,11772,5959,8083,10650",13153
7359,9915,10425
9350,9961,4673
7741,"8644,12018,12814,837,9693",3639
9927,"14068,5524,8473,1327,5454",3481
2038,"8941,6275,3933,12179,341,7217,13410,5817",4935
5409,"6240,9959,14240,6020,13212,2333,11211,11538,5218,11499,11637,10048,6454,10207,7953,5988",9696
14173,14260,5764
774,2053,13387
1951,"9211,13338,5773,2266,545,4989,7219,13559",1949
7110,"7759,2949",4369
7755,8348,4591
9597,"5648,8473,5454,9818,4646,5027",1908
9494,"7734,11485,14156,13410,5817",11808
4450,377,7486
8596,14372,6930
10737,"13080,6891,3692,6643,7260,69,4921,6374",13860
12372,"13110,9801,8957",5436
9134,"949,5978,4199,3446",1389
7537,"9496,14558",6427
902,"5765,6010,3983,1219,1859",11249
8102,"12731,9061",1932
4715,"8200,10011,2754,10999,14064",4428
2142,6891,12199
120,"12486,2615",9342
7776,12064,6033
13471,"2666,11544,12957,9551",10980
12111,10403,4379
9183,"2607,11921,4847,11272,8597,12317,442",13124
14175,"13299,7178,790,5557",1261
5497,5977,5983
11228,"4287,7835,12446",7389
4830,"6240,2333,1479",8546
4524,"7621,4469,10835,4655",3612
10533,"2334,717,2331",11163
12680,"12863,11796",5264
1511,3976,6696
3058,"12397,3753,1630,1401,4393",7934
13344,11521,12189
6920,4061,3894
5718,"8941,13008,5910,7089,14070,1360,2676,5103",8541
5080,"9901,2165",8447
8995,"13068,12863,12228,5126",14368
5423,"8092,11234,10643",6584
13774,"9384,7541,7514,12247,1826,3265,10451,8884,11766",7861
632,"7451,6783",1313
2379,"12464,12773,8688",2499
1014,"7226,5765,7278,5327,2951,1219",373
11145,2057,8125
3482,"10291,8221,2220,14344,9856,10678,1632,11308,4957,14378,6849,556,29",5584
1073,"4710,13821,10499,12464,2914",7065
2308,1933,7906
3053,"9436,9221,2654",4769
14560,"2333,10207,6240",3364
1307,"12490,8040,5458,13465,13081,5707",11578
13758,8871,5681
4041,"12421,1830,1629,1801,5301",8403
7958,13476,8887
12772,"12693,9818,9753,7734,5454,9761,12464,2484,6462",13570
8997,2127,6697
7931,"11487,8963,3792",6487
4758,"9961,13859,9890,8501",5252
13431,"14260,1125,1339,13752,13573,4235,2201",4123
11631,12539,774
9411,"8156,14479,11706",14118
12610,"14137,5127,9945,4975",6621
900,"2154,13786",14460
1621,"4687,11949,3360,10547,10968,1051,4539,11508,14268,8138,2199,6987",549
184,"6649,4715,5091",6579
3770,"636,9387,2359,7015,8550",4583
4945,"8826,4871,5841",1944
7096,9398,14326
2243,1159,11821
6463,"9585,9401,12127,9246",14179
7703,"12146,8086,9680",13909
39,6661,12359
12787,"7063,4448,11982,12416,13130,1350,392",4678
6197,"9658,9685",6349
2034,5820,3029
14443,"7783,10970,493",10310
9426,"9818,6521,6462",2837
5896,"2298,1940,3909,3779,8639,10707,10939,7539",4911
8764,"13325,790,2055",1820
1114,11051,3064
6391,"8548,11485,2731,6135",11808
133,"5298,3461,2412,3705,9193",7766
303,12191,6044
9034,"14341,11774,12357",167
11203,"6150,5214",12690
10687,2076,2919
12558,"8004,13363,4468",10532
6355,"2980,8156",2742
6731,"7884,6849,11682",4339
12435,"10838,5176,3253,349",8851
10338,5648,6585
11318,"10151,5924,1834,3265,13222,13802,5227,1851,1581,5255,1031",7861
8244,"12227,1253,2716,14260,3929,790,1423",5817
2567,3064,10925
1295,"558,4778,7651,9161,2940,5150",2294
5003,"9499,11291",13782
13261,"349,4808",4763
3217,"14361,1856,13647",11622
443,"13246,3348,14072,10348",2199
13618,"9129,6014,8484,3959,11253,10666,12845",4506
10759,"14356,12580",1743
10597,"10131,7345,3724",2348
12087,"14268,11560,13859",1309
3823,"9156,1843,588,13824",7796
13565,"504,12463,8656",2556
2996,"10539,10477,9006,4733,12944,14227",3936
11178,"1481,4642",1489
9,5574,9597
9475,"6503,10633,9497,13319,12765",11431
2841,"3008,4584,14483,7995,12749",2340
7425,"4587,12219,11336",12612
2230,4309,7043
13853,"14211,7042,1968,3443,3640,9559,14503,13032",13038
5820,3434,681
6893,"13595,8635,7483,10512",7481
6509,12974,2382
613,"5256,9713,685,10849",14159
9125,"8484,5608,10873,9844,5894",11491
713,"13082,12323,5318,1972,3993,2778,112",10128
3385,"9256,9908,10773,11057,4853,5285,14029",6178
4599,"6649,743,13720,7536,5995,14465",9972
6500,"13221,10114,651,2980,9247",8864
1195,"1856,484",7108
4688,"9262,11251,8764",790
7341,14016,9217
9061,"6513,7622,1932,958,6096,6039",9776
435,"7044,6035,2743,516,11216,7528,7429",3863
7727,"10880,11116,3945",7015
2453,"4220,13576,2089,10345,11715,7766,8996,9945,11810,9298",9662
1409,"8576,5412,14571",514
2751,"11323,10548,2281,10934,955,7830",6897
4457,"2839,7869,13492,6485,10334",6374
1855,"1239,4616,5757,6156",6062
13398,"5629,10857",6251
11802,"738,4374,7040,6497,6917,14501",1498
1803,6676,1104
5456,6559,5996
3295,"9127,2751,2281,10548,8116,6031,7830",2985
11928,"2309,1103",3341
3978,"9384,4120,10838,5924,3769,593,3857",1031
5739,6291,13843
1140,"13092,6594,11459",4050
3954,3397,13673
7145,"14261,9447",11459
6371,"12033,7835,845",2387
5787,"10069,4961,6012",5862
5276,11519,9115
8226,7003,7346
340,14561,6711
1242,"2298,1940,3503,8639,6250,2468,10939,7350,9589,805,9685",5175
10331,"8584,8815,804,6792,11988,7789,6178",13986
252,"11114,8132,4153,13223",2387
2201,"9283,1125,1339,5192,6594,1725,6518,1159,8884,1581,11766",547
6351,"10327,1436",2373
2046,7906,3240
9836,7495,6459
10956,"13008,5454,12416,12184,119",10721
3426,1904,1313
13498,"12643,4697,1253,14260,11934,13772",3929
10345,"7783,8638,11682,6572,493",7766
740,10345,7766
9295,8449,11961
11111,"10005,2741",11203
3349,"5648,10633,7842,6014,13319,13147,845,11304,10513",11431
8620,"13328,10941,6378,13081,10989,426,9380,11053",7015
1355,"949,13041,13116,4960",13019
11922,"6444,13078",2980
3387,"145,13063,4876,3716,1022,6846,5161",9162
1571,"8781,10386",11053
12283,"12783,7939,7219,6783,13559,9721",4708
7013,"1136,6673",5114
3074,"13078,7755",11186
9755,"9795,10172,4539,14268,12173,4941",3667
3948,"4448,8242",6584
14127,"14524,13988",9776
5100,"12780,11264,13369",1820
5076,"7674,6736,1123,3560,8118,12536,11143,8815,9617",5571
2209,"12486,8580,4104,5015,163",2615
1858,"5804,9925,4199,10563,965,58,10206",13107
9341,"912,5364,10584,5721",5550
3114,6160,3364
2275,12376,6849
9954,"9544,4616,3993,8585,13950,6062,7870",6390
3843,5643,14181
9662,"10345,7766",2
5387,"3257,14380,1851",12458
10125,367,6364
11055,"1916,11637,6454,3776",9162
4818,"4680,4603,686",7769
6492,2420,4478
9451,"6977,9127,8612,3204,4325",7560
9224,"8748,12578,1862",2615
8083,"11270,2726",10650
4091,"12214,12758",7230
11703,"11682,10650,6849",8083
7621,"8156,4655,13841,8178,2742,6355,9714,3612",1091
13143,4899,6236
11246,5358,13859
4354,"1294,11626,127,13504",2075
3774,"13177,6257",14469
9929,"12044,4013",98
11548,2423,12758
6456,6633,3047
13777,2546,5169
922,6435,11950
13720,"5995,6216",6466
1282,751,7699
9055,"4697,13309,2906,7526,12366,13096,5009,7800,5817",6832
14343,"9663,2375,4434",7332
12175,1294,11517
2366,"13852,11731,842,2943,2050,2615",10570
5244,"5816,14211,4693,10281,9872,1125,107,4650,13101,1065,3100,1253,7767,14260,638,794,5192,7615,10037,6555,10116,13073,9245",2914
10681,3881,1805
9620,"7355,3601",14412
12946,8339,2582
12814,"9580,6150,7514",12257
1300,"7198,11835,3259,4537",3612
4998,"854,11516",11495
7285,3933,10353
1271,"1253,14260",4312
12503,10023,12863
220,"11124,3064",10824
8256,12060,11803
11690,"4107,6961",7159
7207,10450,7514
10788,"7842,12493,522,10134,13147",9505
11782,"14211,2883",10262
7227,98,11140
4515,"9180,3730,8767",3254
9904,"9888,6195,1938,8018",11670
9464,"14155,9152,8808,5937",11777
287,"5166,10282,6361,4508,11416,11142,4152,1479,5022,11499,6214,4371",10207
8373,"5818,10743",14549
2656,8387,10933
94,"7373,797,9147,12813,4477,7815",3307
9305,"3119,7277",8904
4567,"6064,890",5372
5596,"560,12690",591
8074,"2668,13536",453
748,"4256,9722,1620,3157,1856,2199",8048
1588,"12978,10932,1339",3035
5122,"13657,734",2256
11992,"2259,2745,1296",5685
4645,"4600,487,4447,13604",427
8571,"911,13598,6508,1651,4288,4131,11705",4734
12603,"229,1585,5917,10234,4473,2907",1837
14378,"10291,4212,6676,2847,3725,12070,11184,1687",3324
1826,"3265,7861",11975
6244,"7828,334,13071,13081,10989,426",3431
8215,"3142,5214",1527
13816,"4697,13999,3933,4549,5928,13491,3100,2627,12765,634",9330
10049,"14211,5648,10633,4430,11348,5090",13038
1517,9961,763
9330,"4697,12366,2716,10176,10633,11485,13491,5817",12765
12417,13725,5381
10000,"9789,7198,9062,6744",2871
7831,"10069,1856",13365
7490,"3881,502,352,9920,8651",3205
11757,"10619,9195,11320,1966,12690",515
14453,1856,6792
7869,11999,6485
7820,1407,5863
10076,"9227,9754",14307
8266,"2350,8190,1324,5901",850
7229,"1168,9434,1523,6242,5989,1159,2055",251
6726,"7108,5879",462
6392,"2991,977,4049",2154
8512,13259,13511
1635,"8672,487,7708",8832
13202,"5214,11958",3277
8317,"5623,12397",5989
14186,"5285,60,6792",3639
10197,"11209,1533,316,8701,1123,380,1963,9969,13911",3590
7417,9672,424
11492,"1796,1744,6741",14439
11108,"12797,3345",6849
345,10340,244
7802,"13221,12690",6673
3380,"8135,9855,6795,9180,3730",3254
7237,"8287,13195,4768,1084,12458,13192,484,9341,12653,1583,11342,11209",12452
793,10578,3431
3624,"11070,8592,2636",4921
9525,5719,5658
8340,10868,8003
4095,"7599,3815,2778",4348
10559,"10115,8366,6858",11331
5882,"904,5031,2657,13409",12518
3422,11619,9064
13659,"487,1139,1582,2663,14476,8073,7708",9235
8676,"2009,14237,13782",4626
12232,13104,4217
8337,"11114,5601",13223
